,time,T18,T19,T20,T21
110,49599,23.0287,23.0247,12.7859,22.6252
111,49600,23.0613,22.9753,12.8386,22.6562
112,49601,23.0399,23.0248,12.8732,22.7188
113,49602,23.0636,23.0,12.9237,22.6875
114,49603,23.0636,23.0,12.9718,22.7185
115,49604,23.0675,23.0124,13.0102,22.6875
116,49605,23.0785,23.0344,13.0648,22.6875
117,49606,23.0617,23.0625,13.0809,22.5624
118,49610,23.1067,23.0683,13.2548,22.5
119,49611,23.094,23.0938,13.2704,22.4688
120,49612,23.0876,23.125,13.3055,22.4066
121,49613,23.1155,23.1307,13.3574,22.3754
122,49614,23.111,23.1506,13.3791,22.3743
123,49615,23.1093,23.0938,13.4186,22.4058
124,49616,23.1112,23.0312,13.4493,22.4369
125,49617,23.1031,22.9945,13.469000000000001,22.4375
126,49618,23.1069,22.9008,13.5012,22.4375
127,49619,23.0966,22.875,13.5255,22.5
128,49620,23.1073,22.8697,13.5567,22.5
129,49621,23.0961,22.8072,13.593,22.4393
130,49622,23.094,22.7475,13.6168,22.4073
131,49623,23.0878,22.7239,13.6393,22.4362
132,49624,23.1002,22.7761,13.6803,22.4688
133,49625,23.0813,22.7812,13.7003,22.4699
134,49626,23.0925,22.7812,13.7332,22.4688
135,49627,23.0916,22.8388,13.7651,22.4388
136,49628,23.0792,22.8172,13.8024,22.3465
137,49629,23.0915,22.803,13.8369,22.3125
138,49630,23.0828,22.7188,13.8483,22.4332
139,49631,23.0661,22.6875,13.8682,22.4672
140,49632,23.083000000000002,22.7233,13.918,22.5294
141,49633,23.0851,22.7545,13.9548,22.5312
142,49634,23.066,22.8125,13.950999999999999,22.5
143,49635,23.0834,22.7994,14.0078,22.498
144,49636,23.0722,22.6788,14.0267,22.4814
145,49637,23.0764,22.6209,14.049000000000001,22.5019
146,49638,23.0596,22.5896,14.069,22.529
147,49639,23.0745,22.5854,14.1078,22.5312
148,49640,23.0761,22.5431,14.1446,22.5312
149,49641,23.0635,22.633000000000003,14.155999999999999,22.5024
150,49642,23.0722,22.7227,14.1865,22.5
151,49643,23.0915,22.7225,14.2425,22.4711
152,49644,23.0743,22.75,14.2434,22.4974
153,49645,23.0874,22.7538,14.2907,22.4688
154,49646,23.0764,22.7812,14.3078,22.44
155,49647,23.0597,22.7812,14.3092,22.4062
156,49648,23.0871,22.7812,14.3608,22.4349
157,49649,23.081,22.8159,14.3867,22.409000000000002
158,49650,23.0958,22.875,14.4109,22.4346
159,49651,23.0893,22.9375,14.4369,22.409000000000002
160,49652,23.0898,22.9688,14.4569,22.4404
161,49653,23.098000000000003,22.9623,14.4936,22.4062
162,49654,23.0856,22.903000000000002,14.5029,22.4062
163,49657,23.1109,22.7874,14.5893,22.3719
164,49658,23.096,22.8721,14.5874,22.403000000000002
165,49659,23.0966,22.875,14.6074,22.434
166,49660,23.1152,22.875,14.6458,22.4408
167,49661,23.0922,22.8763,14.6293,22.4653
168,49662,23.1027,22.9036,14.6533,22.4099
169,49663,23.0961,22.8438,14.6639,22.4375
170,49664,23.0921,22.81,14.6641,22.4375
171,49665,23.0919,22.7837,14.6796,22.4101
172,49666,23.086,22.7474,14.697000000000001,22.4062
173,49667,23.0918,22.7211,14.7121,22.4062
174,49668,23.0981,22.75,14.7311,22.4375
175,49669,23.09,22.8125,14.7319,22.4375
176,49670,23.0874,22.7834,14.7512,22.4688
177,49671,23.079,22.8104,14.7515,22.5312
178,49672,23.0855,22.7522,14.7647,22.5353
179,49673,23.0913,22.75,14.7944,22.5041
180,49674,23.0809,22.7207,14.7859,22.5269
181,49675,23.0791,22.7188,14.8016,22.5583
182,49676,23.0834,22.7518,14.8191,22.6476
183,49677,23.0851,22.7517,14.8464,22.625
184,49678,23.0722,22.7812,14.8469,22.5669
185,49679,23.0615,22.7531,14.8408,22.5579
186,49680,23.072,22.7797,14.875,22.5673
187,49681,23.061,22.75,14.8771,22.5046
188,49682,23.0676,22.6889,14.8949,22.5265
189,49683,23.0589,22.75,14.9013,22.505
